Abu Dhabi Commercial Bank (ADCB)
Account Holder: Karim Mansour
Card Number: 4521-XXXX-XXXX-8829
Statement Period: 01 Sep 2025 to 31 May 2026
Currency: AED
Opening Balance: 0.00

Transaction Date,Value Date,Description,Reference No,Debit (AED),Credit (AED),Balance (AED)
08/02/2026,08/02/2026,SPOTIFY AB FAMILY PLAN,TXN61663406,29.90,,6729.78
09/02/2026,09/02/2026,DELIVEROO UAE,TXN46426355,173.03,,6902.81
09/02/2026,09/02/2026,MERAAS PARKING,TXN38189927,15.97,,6918.78
09/02/2026,09/02/2026,PARKIN DUBAI,TXN32227407,10.55,,6929.33
10/02/2026,10/02/2026,CAFE NERO MOE,TXN94295246,24.89,,6954.22
11/02/2026,11/02/2026,ZOMATO UAE,TXN37877207,167.87,,7122.09
11/02/2026,11/02/2026,PARKIN DUBAI,TXN25168749,15.06,,7137.15
11/02/2026,11/02/2026,DISNEY PLUS UAE,TXN67966682,39.99,,7177.14
11/02/2026,11/02/2026,OSN STREAMING ARABIC,TXN73692578,99.00,,7276.14
12/02/2026,12/02/2026,RTA SALIK TOLL,TXN68982824,4.00,,7280.14
13/02/2026,13/02/2026,RTA SALIK TOLL,TXN70086593,4.00,,7284.14
14/02/2026,14/02/2026,CARREFOUR HYPERMARKET MOE,TXN90015431,438.74,,7722.88
14/02/2026,14/02/2026,CHOITHRAMS JVC,TXN31244558,430.67,,8153.55
14/02/2026,14/02/2026,TIM HORTONS MIRDIF,TXN21365725,44.92,,8198.47
14/02/2026,14/02/2026,RTA SALIK TOLL,TXN48456744,4.00,,8202.47
14/02/2026,14/02/2026,BIN SINA PHARMACY MOE,TXN22309408,211.11,,8413.58
15/02/2026,15/02/2026,WEST ZONE SUPERMARKET JVC,TXN59976207,337.91,,8751.49
15/02/2026,15/02/2026,PIZZA HUT DELIVERY,TXN38970073,119.16,,8870.65
15/02/2026,15/02/2026,TIM HORTONS MIRDIF,TXN48909325,18.99,,8889.64
15/02/2026,15/02/2026,APPLE ICLOUD PLUS FAMILY,TXN50192853,11.49,,8901.13
16/02/2026,16/02/2026,CAFE NERO MOE,TXN69333981,27.09,,8928.22
17/02/2026,17/02/2026,CAREEM NOW DUBAI,TXN96212828,145.89,,9074.11
17/02/2026,17/02/2026,STARBUCKS JVC,TXN91091478,42.92,,9117.03
17/02/2026,17/02/2026,NAMSHI.COM,TXN98275029,108.33,,9225.36
18/02/2026,18/02/2026,LINKEDIN PREMIUM CAREER,TXN62898711,99.00,,9324.36
19/02/2026,19/02/2026,RTA SALIK TOLL,TXN68950486,4.00,,9328.36
19/02/2026,19/02/2026,RTA SALIK TOLL,TXN27889593,4.00,,9332.36
20/02/2026,20/02/2026,RTA SALIK TOLL,TXN96101688,4.00,,9336.36
21/02/2026,21/02/2026,TIM HORTONS MIRDIF,TXN57101006,22.89,,9359.25
21/02/2026,21/02/2026,RTA SALIK TOLL,TXN33121583,4.00,,9363.25
21/02/2026,21/02/2026,PAYMENT RECEIVED - THANK YOU,TXN18470355,,5624.83,3738.42
23/02/2026,23/02/2026,DELIVEROO UAE,TXN81374769,125.11,,3863.53
23/02/2026,23/02/2026,DELIVEROO UAE,TXN89405108,101.84,,3965.37
24/02/2026,24/02/2026,RTA SALIK TOLL,TXN87238458,4.00,,3969.37
25/02/2026,25/02/2026,WEST ZONE SUPERMARKET JVC,TXN14749638,363.77,,4333.14
25/02/2026,25/02/2026,RTA SALIK TOLL,TXN38188002,4.00,,4337.14
25/02/2026,25/02/2026,RTA SALIK TOLL,TXN39052337,4.00,,4341.14
26/02/2026,26/02/2026,TIM HORTONS MIRDIF,TXN32589858,29.06,,4370.20
26/02/2026,26/02/2026,PARKIN DUBAI,TXN19770129,13.42,,4383.62
27/02/2026,27/02/2026,CAREEM NOW DUBAI,TXN27077776,152.47,,4536.09
27/02/2026,27/02/2026,RTA SALIK TOLL,TXN67996004,4.00,,4540.09
27/02/2026,27/02/2026,RTA SALIK TOLL,TXN63166708,4.00,,4544.09
28/02/2026,28/02/2026,EPPCO JEBEL ALI,TXN78466354,264.38,,4808.47
01/03/2026,01/03/2026,ZOMATO UAE,TXN65929323,135.99,,4944.46
01/03/2026,01/03/2026,RTA SALIK TOLL,TXN89219618,4.00,,4948.46
01/03/2026,01/03/2026,NETFLIX.COM PREMIUM,TXN31090036,56.00,,5004.46
02/03/2026,02/03/2026,TALABAT.COM DUBAI,TXN32330545,146.92,,5151.38
02/03/2026,02/03/2026,OPERATION FALAFEL JVC,TXN72478367,257.45,,5408.83
02/03/2026,02/03/2026,ADNOC SERVICE STATION SHEIKH ZAYED,TXN22032725,225.73,,5634.56
02/03/2026,02/03/2026,RTA SALIK TOLL,TXN39532143,4.00,,5638.56
02/03/2026,02/03/2026,AMAZON.AE,TXN80632910,174.08,,5812.64
03/03/2026,03/03/2026,RTA SALIK TOLL,TXN35304984,4.00,,5816.64
04/03/2026,04/03/2026,UBER B.V. DUBAI,TXN25935173,63.59,,5880.23
04/03/2026,04/03/2026,AMAZON PRIME UAE,TXN33070501,16.00,,5896.23
05/03/2026,05/03/2026,EPPCO JEBEL ALI,TXN85885731,200.92,,6097.15
06/03/2026,06/03/2026,RTA SALIK TOLL,TXN46656998,4.00,,6101.15
06/03/2026,06/03/2026,RTA SALIK TOLL,TXN75610752,4.00,,6105.15
06/03/2026,06/03/2026,NOON.COM VIP MEMBERSHIP,TXN22187216,7.50,,6112.65
07/03/2026,07/03/2026,TIM HORTONS MIRDIF,TXN59850739,40.59,,6153.24
08/03/2026,08/03/2026,NOON.COM,TXN99228205,302.97,,6456.21
09/03/2026,09/03/2026,STARBUCKS JVC,TXN13690274,33.01,,6489.22
09/03/2026,09/03/2026,SPOTIFY AB FAMILY PLAN,TXN99931613,29.90,,6519.12
10/03/2026,10/03/2026,DISNEY PLUS UAE,TXN27051365,39.99,,6559.11
12/03/2026,12/03/2026,CARREFOUR HYPERMARKET MOE,TXN95670429,678.59,,7237.70
12/03/2026,12/03/2026,RTA SALIK TOLL,TXN93200305,4.00,,7241.70
13/03/2026,13/03/2026,DELIVEROO UAE,TXN60199721,152.07,,7393.77
13/03/2026,13/03/2026,RTA SALIK TOLL,TXN30056572,4.00,,7397.77
13/03/2026,13/03/2026,RTA SALIK TOLL,TXN92652304,4.00,,7401.77
14/03/2026,14/03/2026,OPERATION FALAFEL JVC,TXN34297245,312.16,,7713.93
14/03/2026,14/03/2026,RTA SALIK TOLL,TXN17519380,4.00,,7717.93
15/03/2026,15/03/2026,COSTA COFFEE MOE,TXN75890858,22.17,,7740.10
15/03/2026,15/03/2026,OSN STREAMING ARABIC,TXN49474410,99.00,,7839.10
16/03/2026,16/03/2026,SPINNEYS DUBAI MARINA,TXN32963858,277.34,,8116.44
16/03/2026,16/03/2026,RTA SALIK TOLL,TXN55131008,4.00,,8120.44
16/03/2026,16/03/2026,APPLE ICLOUD PLUS FAMILY,TXN61711303,11.49,,8131.93
18/03/2026,18/03/2026,AL FANAR RESTAURANT,TXN53108364,314.63,,8446.56
18/03/2026,18/03/2026,RTA SALIK TOLL,TXN76554249,4.00,,8450.56
18/03/2026,18/03/2026,LINKEDIN PREMIUM CAREER,TXN86374394,99.00,,8549.56
19/03/2026,19/03/2026,CARREFOUR HYPERMARKET MOE,TXN77234982,206.72,,8756.28
19/03/2026,19/03/2026,MCDONALDS JVC,TXN35420489,218.19,,8974.47
19/03/2026,19/03/2026,MERAAS PARKING,TXN73021723,21.76,,8996.23
20/03/2026,20/03/2026,COSTA COFFEE MOE,TXN23088570,22.10,,9018.33
21/03/2026,21/03/2026,RTA SALIK TOLL,TXN75434605,4.00,,9022.33
21/03/2026,21/03/2026,BLOOMINGDALES BEAUTY DUBAI MALL,TXN64250519,850.00,,9872.33
23/03/2026,23/03/2026,CAREEM NOW DUBAI,TXN39146869,153.33,,10025.66
23/03/2026,23/03/2026,RTA SALIK TOLL,TXN49825725,4.00,,10029.66
23/03/2026,23/03/2026,ASTER PHARMACY JVC,TXN53788620,76.39,,10106.05
23/03/2026,23/03/2026,PAYMENT RECEIVED - THANK YOU,TXN30192982,,7364.25,2741.80
24/03/2026,24/03/2026,CAREEM NOW DUBAI,TXN67698641,173.87,,2915.67
28/03/2026,28/03/2026,ADNOC SERVICE STATION SHEIKH ZAYED,TXN14640089,270.01,,3185.68
30/03/2026,30/03/2026,RTA SALIK TOLL,TXN67337768,4.00,,3189.68
31/03/2026,31/03/2026,RTA SALIK TOLL,TXN44723454,4.00,,3193.68
31/03/2026,31/03/2026,RTA SALIK TOLL,TXN52219938,4.00,,3197.68
31/03/2026,31/03/2026,UBER B.V. DUBAI,TXN10513394,40.97,,3238.65
01/04/2026,01/04/2026,SPINNEYS DUBAI MARINA,TXN19491935,423.20,,3661.85
01/04/2026,01/04/2026,CAFE NERO MOE,TXN20421460,40.99,,3702.84
01/04/2026,01/04/2026,RTA SALIK TOLL,TXN49301600,4.00,,3706.84
01/04/2026,01/04/2026,UBER B.V. DUBAI,TXN60305242,28.43,,3735.27
02/04/2026,02/04/2026,COSTA COFFEE MOE,TXN92128181,20.92,,3756.19
03/04/2026,03/04/2026,ASTER PHARMACY JVC,TXN48517773,65.94,,3822.13
04/04/2026,04/04/2026,NETFLIX.COM PREMIUM,TXN65137085,56.00,,3878.13
04/04/2026,04/04/2026,AMAZON PRIME UAE,TXN14388083,16.00,,3894.13
05/04/2026,05/04/2026,EPPCO JEBEL ALI,TXN86867385,222.32,,4116.45
06/04/2026,06/04/2026,RTA SALIK TOLL,TXN67732171,4.00,,4120.45
07/04/2026,07/04/2026,NOON.COM VIP MEMBERSHIP,TXN58427402,7.50,,4127.95
08/04/2026,08/04/2026,RTA SALIK TOLL,TXN95085570,4.00,,4131.95
08/04/2026,08/04/2026,RTA SALIK TOLL,TXN81559012,4.00,,4135.95
08/04/2026,08/04/2026,SPOTIFY AB FAMILY PLAN,TXN48160431,29.90,,4165.85
09/04/2026,09/04/2026,RTA SALIK TOLL,TXN54171411,4.00,,4169.85
09/04/2026,09/04/2026,RTA SALIK TOLL,TXN16172851,4.00,,4173.85
09/04/2026,09/04/2026,SHARAF DG ONLINE,TXN13752892,233.48,,4407.33
09/04/2026,09/04/2026,ZARA KIDS DUBAI MALL EID,TXN71520218,540.00,,4947.33
10/04/2026,10/04/2026,TIM HORTONS MIRDIF,TXN94752939,26.71,,4974.04
10/04/2026,10/04/2026,RTA SALIK TOLL,TXN46026686,4.00,,4978.04
10/04/2026,10/04/2026,RTA SALIK TOLL,TXN79990781,4.00,,4982.04
10/04/2026,10/04/2026,RTA SALIK TOLL,TXN53412993,4.00,,4986.04
11/04/2026,11/04/2026,RTA SALIK TOLL,TXN25467899,4.00,,4990.04
11/04/2026,11/04/2026,PARKIN DUBAI,TXN48156970,27.52,,5017.56
11/04/2026,11/04/2026,OSN STREAMING ARABIC,TXN82923434,99.00,,5116.56
11/04/2026,11/04/2026,AL FANAR RESTAURANT EID DINNER,TXN25701358,480.00,,5596.56
12/04/2026,12/04/2026,LULU HYPERMARKET JVC,TXN10101166,235.14,,5831.70
12/04/2026,12/04/2026,TALABAT.COM DUBAI,TXN24964281,90.18,,5921.88
12/04/2026,12/04/2026,NAMSHI.COM,TXN37789687,237.19,,6159.07
13/04/2026,13/04/2026,RTA SALIK TOLL,TXN41957458,4.00,,6163.07
13/04/2026,13/04/2026,DISNEY PLUS UAE,TXN18587366,39.99,,6203.06
14/04/2026,14/04/2026,CAREEM NETWORKS DUBAI,TXN60046570,54.53,,6257.59
14/04/2026,14/04/2026,CAREEM NETWORKS DUBAI,TXN67508601,62.02,,6319.61
15/04/2026,15/04/2026,RTA SALIK TOLL,TXN15705009,4.00,,6323.61
16/04/2026,16/04/2026,TIM HORTONS MIRDIF,TXN44606674,21.92,,6345.53
16/04/2026,16/04/2026,RTA SALIK TOLL,TXN13906032,4.00,,6349.53
16/04/2026,16/04/2026,APPLE ICLOUD PLUS FAMILY,TXN84386706,11.49,,6361.02
16/04/2026,16/04/2026,LINKEDIN PREMIUM CAREER,TXN36602467,99.00,,6460.02
18/04/2026,18/04/2026,RTA SALIK TOLL,TXN72312590,4.00,,6464.02
20/04/2026,20/04/2026,RTA SALIK TOLL,TXN78656923,4.00,,6468.02
20/04/2026,20/04/2026,VOX CINEMAS MOE,TXN19618499,219.88,,6687.90
21/04/2026,21/04/2026,WEST ZONE SUPERMARKET JVC,TXN91752186,351.83,,7039.73
21/04/2026,21/04/2026,MERAAS PARKING,TXN54508967,27.79,,7067.52
22/04/2026,22/04/2026,TIM HORTONS MIRDIF,TXN96293314,20.23,,7087.75
22/04/2026,22/04/2026,RTA SALIK TOLL,TXN93425386,4.00,,7091.75
22/04/2026,22/04/2026,RTA SALIK TOLL,TXN66496959,4.00,,7095.75
23/04/2026,23/04/2026,CHOITHRAMS JVC,TXN18653740,301.33,,7397.08
23/04/2026,23/04/2026,CAFE NERO MOE,TXN12066859,28.79,,7425.87
23/04/2026,23/04/2026,PAYMENT RECEIVED - THANK YOU,TXN19446287,,6737.74,688.13
24/04/2026,24/04/2026,SMILES BY ETISALAT,TXN18357654,123.60,,811.73
24/04/2026,24/04/2026,FIRSTCRY.AE,TXN25396553,78.36,,890.09
26/04/2026,26/04/2026,COSTA COFFEE MOE,TXN87246582,34.36,,924.45
26/04/2026,26/04/2026,RTA SALIK TOLL,TXN55280766,4.00,,928.45
26/04/2026,26/04/2026,MAX FASHION MIRDIF,TXN48347255,349.47,,1277.92
27/04/2026,27/04/2026,CHOITHRAMS JVC,TXN45298530,501.68,,1779.60
27/04/2026,27/04/2026,COSTA COFFEE MOE,TXN51418950,27.92,,1807.52
27/04/2026,27/04/2026,CENTREPOINT JVC,TXN60847826,134.16,,1941.68
28/04/2026,28/04/2026,RTA SALIK TOLL,TXN18668598,4.00,,1945.68
28/04/2026,28/04/2026,RTA SALIK TOLL,TXN59199240,4.00,,1949.68
30/04/2026,30/04/2026,TIM HORTONS MIRDIF,TXN23684796,27.28,,1976.96
30/04/2026,30/04/2026,ADNOC SERVICE STATION SHEIKH ZAYED,TXN57621286,185.82,,2162.78
30/04/2026,30/04/2026,RTA SALIK TOLL,TXN75506791,4.00,,2166.78
30/04/2026,30/04/2026,MERAAS PARKING,TXN56776833,13.82,,2180.60
30/04/2026,30/04/2026,NOON.COM,TXN99824730,400.35,,2580.95
01/05/2026,01/05/2026,ZOMATO UAE,TXN43196434,94.02,,2674.97
01/05/2026,01/05/2026,RTA SALIK TOLL,TXN92980295,4.00,,2678.97
01/05/2026,01/05/2026,RTA SALIK TOLL,TXN94841438,4.00,,2682.97
01/05/2026,01/05/2026,CARREFOUR ONLINE,TXN95233683,120.11,,2803.08
02/05/2026,02/05/2026,RTA SALIK TOLL,TXN27976094,4.00,,2807.08
02/05/2026,02/05/2026,SHARAF DG ONLINE,TXN19271956,139.75,,2946.83
04/05/2026,04/05/2026,SMILES BY ETISALAT,TXN16667344,87.98,,3034.81
04/05/2026,04/05/2026,NETFLIX.COM PREMIUM,TXN99734224,56.00,,3090.81
04/05/2026,04/05/2026,AMAZON PRIME UAE,TXN33054329,16.00,,3106.81
05/05/2026,05/05/2026,RTA SALIK TOLL,TXN57123395,4.00,,3110.81
06/05/2026,06/05/2026,TIM HORTONS MIRDIF,TXN49021614,18.32,,3129.13
06/05/2026,06/05/2026,NOON.COM VIP MEMBERSHIP,TXN86712302,7.50,,3136.63
09/05/2026,09/05/2026,COSTA COFFEE MOE,TXN15236943,18.59,,3155.22
09/05/2026,09/05/2026,EPPCO JEBEL ALI,TXN94235602,275.74,,3430.96
09/05/2026,09/05/2026,RTA SALIK TOLL,TXN91914087,4.00,,3434.96
09/05/2026,09/05/2026,SHARAF DG ONLINE,TXN32044720,364.60,,3799.56
09/05/2026,09/05/2026,SPOTIFY AB FAMILY PLAN,TXN97474675,29.90,,3829.46
10/05/2026,10/05/2026,DISNEY PLUS UAE,TXN18894013,39.99,,3869.45
11/05/2026,11/05/2026,CAFE NERO MOE,TXN83831393,26.47,,3895.92
11/05/2026,11/05/2026,MERAAS PARKING,TXN96063587,23.80,,3919.72
12/05/2026,12/05/2026,COSTA COFFEE MOE,TXN77651191,29.46,,3949.18
12/05/2026,12/05/2026,ADNOC SERVICE STATION SHEIKH ZAYED,TXN93750247,217.23,,4166.41
12/05/2026,12/05/2026,OSN STREAMING ARABIC,TXN17933098,99.00,,4265.41
13/05/2026,13/05/2026,RTA SALIK TOLL,TXN48042962,4.00,,4269.41
14/05/2026,14/05/2026,PF CHANGS DIFC,TXN88621916,220.01,,4489.42
14/05/2026,14/05/2026,APPLE ICLOUD PLUS FAMILY,TXN91035867,11.49,,4500.91
18/05/2026,18/05/2026,RTA SALIK TOLL,TXN54449566,4.00,,4504.91
18/05/2026,18/05/2026,LINKEDIN PREMIUM CAREER,TXN43502335,99.00,,4603.91
19/05/2026,19/05/2026,TIM HORTONS MIRDIF,TXN20160097,44.49,,4648.40
19/05/2026,19/05/2026,RTA SALIK TOLL,TXN50108465,4.00,,4652.40
20/05/2026,20/05/2026,RTA SALIK TOLL,TXN34014642,4.00,,4656.40
20/05/2026,20/05/2026,BOOTS PHARMACY MOE,TXN39667876,175.33,,4831.73
21/05/2026,21/05/2026,COSTA COFFEE MOE,TXN75185516,44.69,,4876.42
21/05/2026,21/05/2026,CAFE NERO MOE,TXN94045939,26.21,,4902.63
22/05/2026,22/05/2026,CAREEM NOW DUBAI,TXN40906116,97.59,,5000.22
22/05/2026,22/05/2026,RTA SALIK TOLL,TXN38923132,4.00,,5004.22
22/05/2026,22/05/2026,RTA SALIK TOLL,TXN96250608,4.00,,5008.22
22/05/2026,22/05/2026,PAYMENT RECEIVED - THANK YOU,TXN61330351,,7664.32,-2656.10
23/05/2026,23/05/2026,RTA SALIK TOLL,TXN96671622,4.00,,-2652.10
23/05/2026,23/05/2026,RTA SALIK TOLL,TXN86002894,4.00,,-2648.10
23/05/2026,23/05/2026,RTA SALIK TOLL,TXN69681953,4.00,,-2644.10
24/05/2026,24/05/2026,ASTER PHARMACY JVC,TXN85994901,179.19,,-2464.91
25/05/2026,25/05/2026,CAREEM NOW DUBAI,TXN52798547,62.03,,-2402.88
25/05/2026,25/05/2026,RTA SALIK TOLL,TXN22897913,4.00,,-2398.88
25/05/2026,25/05/2026,RTA SALIK TOLL,TXN66045674,4.00,,-2394.88
25/05/2026,25/05/2026,RTA SALIK TOLL,TXN80403148,4.00,,-2390.88
25/05/2026,25/05/2026,MERAAS PARKING,TXN53818021,23.66,,-2367.22
26/05/2026,26/05/2026,SMILES BY ETISALAT,TXN48726196,154.42,,-2212.80
26/05/2026,26/05/2026,LIFE PHARMACY DUBAI MARINA,TXN28945559,88.25,,-2124.55
27/05/2026,27/05/2026,RTA SALIK TOLL,TXN46056787,4.00,,-2120.55
27/05/2026,27/05/2026,RTA SALIK TOLL,TXN71941349,4.00,,-2116.55
27/05/2026,27/05/2026,MERAAS PARKING,TXN50732881,25.95,,-2090.60
28/05/2026,28/05/2026,COSTA COFFEE MOE,TXN45637632,31.87,,-2058.73
28/05/2026,28/05/2026,RTA SALIK TOLL,TXN78223837,4.00,,-2054.73
29/05/2026,29/05/2026,CAFE NERO MOE,TXN11551982,35.02,,-2019.71
31/05/2026,31/05/2026,UNION COOP AL BARSHA,TXN54737986,631.38,,-1388.33
31/05/2026,31/05/2026,OPERATION FALAFEL JVC,TXN88144268,229.89,,-1158.44
